Date,Open,High,Low,Close,Volume
"Friday, December 10, 2010",45.66,45.86,45.51,45.79,9377749
"Monday, December 13, 2010",46.34,46.44,45.86,45.95,15707619
"Tuesday, December 14, 2010",46,46.08,45.57,45.76,12555966
"Wednesday, December 15, 2010",45.71,46.14,45.6,45.77,14903902
"Thursday, December 16, 2010",45.87,46.09,45.73,45.89,11501014
"Friday, December 17, 2010",45.91,45.97,45.75,45.8,13826724
"Monday, December 20, 2010",45.94,46.18,45.46,46.03,13771742
"Tuesday, December 21, 2010",46.16,46.34,46.01,46.31,9155412
"Wednesday, December 22, 2010",46.34,46.53,46.22,46.45,9505147
"Thursday, December 23, 2010",46.43,46.45,46.17,46.23,7982168
"Monday, December 27, 2010",46.17,46.49,45.93,46.38,8921957
"Tuesday, December 28, 2010",46.57,46.67,46.44,46.5,6282971
"Wednesday, December 29, 2010",46.61,46.64,46.44,46.47,5831096
"Thursday, December 30, 2010",46.49,46.5,46.15,46.24,5630713
"Friday, December 31, 2010",46.14,46.21,45.9,46.08,6916261
"Monday, January 3, 2011",46.56,47.18,46.41,47.08,15897201
"Tuesday, January 4, 2011",47.5,47.5,46.88,47.33,11048143
"Wednesday, January 5, 2011",47.08,47.76,47.07,47.71,9125599
"Thursday, January 6, 2011",47.86,47.89,47.56,47.68,10729518
"Friday, January 7, 2011",47.73,48.05,47.41,48.02,11140316
"Monday, January 10, 2011",48.4,49.03,48.17,48.92,16019926
"Tuesday, January 11, 2011",49.28,49.28,48.5,48.81,15859999
"Wednesday, January 12, 2011",49.06,49.2,48.86,49.2,10806330
"Thursday, January 13, 2011",49.33,49.52,49.12,49.38,10648026
"Friday, January 14, 2011",49.42,49.78,49.21,49.78,11029964
"Tuesday, January 18, 2011",46.72,49.25,46.57,48.66,67178096
"Wednesday, January 19, 2011",49.8,49.8,48.13,48.41,40557456
"Thursday, January 20, 2011",48.03,48.33,47.16,47.53,27313900
"Friday, January 21, 2011",47.68,47.84,46.66,46.67,26942816
"Monday, January 24, 2011",46.72,48.21,46.67,48.21,20524364
"Tuesday, January 25, 2011",48.06,48.78,47.8,48.77,19530950
"Wednesday, January 26, 2011",48.99,49.37,48.79,49.12,18102396
"Thursday, January 27, 2011",49.13,49.24,48.98,49.03,10179423
"Friday, January 28, 2011",49.19,49.2,47.65,48.01,21144878
"Monday, January 31, 2011",47.97,48.58,47.76,48.47,13456210
"Tuesday, February 1, 2011",48.79,49.38,48.71,49.29,15236849
"Wednesday, February 2, 2011",49.21,49.32,49.08,49.19,9248401
"Thursday, February 3, 2011",49.11,49.18,48.36,49.06,14064164
"Friday, February 4, 2011",49.11,49.53,49.07,49.5,11494225
"Monday, February 7, 2011",49.71,50.46,49.66,50.27,17322130
"Tuesday, February 8, 2011",50.5,50.79,50.31,50.74,13608558
"Wednesday, February 9, 2011",50.74,51.29,50.7,51.17,17240870
"Thursday, February 10, 2011",51.12,51.43,49.71,50.65,33162480
"Friday, February 11, 2011",50.69,51.11,50.51,50.98,13127564
"Monday, February 14, 2011",50.97,51.35,50.96,51.31,11086213
"Tuesday, February 15, 2011",51.32,51.42,51.08,51.41,10149063
"Wednesday, February 16, 2011",51.5,52.13,51.5,51.88,17184120
"Thursday, February 17, 2011",51.02,51.47,50.93,51.19,18949072
"Friday, February 18, 2011",51.19,51.36,49.93,50.08,29144532
"Tuesday, February 22, 2011",48.88,49.34,48.25,48.37,31162224
"Wednesday, February 23, 2011",48.38,49.23,48.37,48.95,23994706
"Thursday, February 24, 2011",49.15,49.31,48.34,48.98,17853502
"Friday, February 25, 2011",49.32,49.78,49.26,49.74,13572069
"Monday, February 28, 2011",50.17,50.72,50.16,50.46,14395497
"Tuesday, March 1, 2011",50.75,50.82,49.67,49.9,16290309
"Wednesday, March 2, 2011",49.99,50.62,49.77,50.3,21521028
"Thursday, March 3, 2011",51.06,51.4,50.85,51.37,17885252
"Friday, March 4, 2011",51.43,51.47,51.11,51.43,16188069
"Monday, March 7, 2011",51.66,51.67,50.19,50.77,19504308
"Tuesday, March 8, 2011",50.68,51.06,50.32,50.82,12725565
"Wednesday, March 9, 2011",50.67,50.68,50.09,50.35,16192719
"Thursday, March 10, 2011",49.97,49.97,49.27,49.52,18138864
"Friday, March 11, 2011",49.29,50.33,49.29,50.28,16824288
"Monday, March 14, 2011",50.43,50.93,50.19,50.51,15587670
"Tuesday, March 15, 2011",48.82,49.69,48.59,49.35,25751762
"Wednesday, March 16, 2011",48.86,49,46.61,47.14,41312520
"Thursday, March 17, 2011",48.13,48.52,47.24,47.81,23550712
"Friday, March 18, 2011",48.09,48.31,47.14,47.24,26900372
"Monday, March 21, 2011",48.02,48.53,47.89,48.47,14621080
"Tuesday, March 22, 2011",48.95,48.95,48.45,48.74,11651166
"Wednesday, March 23, 2011",48.46,48.6,47.99,48.46,13321214
"Thursday, March 24, 2011",48.84,49.43,48.41,49.28,14453960
"Friday, March 25, 2011",49.73,50.29,49.57,50.22,16041828
"Monday, March 28, 2011",50.45,50.62,50.06,50.06,11048201
"Tuesday, March 29, 2011",49.66,50.14,49.44,50.14,12603565
"Wednesday, March 30, 2011",50.1,50.13,49.63,49.8,11764467
"Thursday, March 31, 2011",49.47,49.97,49.44,49.79,9798858
"Friday, April 1, 2011",50.16,50.23,49.04,49.22,14952200
"Monday, April 4, 2011",49.22,49.23,48.34,48.74,16431506
"Tuesday, April 5, 2011",48.07,48.89,48,48.41,17248688
"Wednesday, April 6, 2011",48.78,49.13,48.16,48.29,14376383
"Thursday, April 7, 2011",48.29,48.63,48,48.3,13337360
"Friday, April 8, 2011",48.57,48.59,47.71,47.87,13483331
"Monday, April 11, 2011",47.74,47.95,47.15,47.26,14255374
"Tuesday, April 12, 2011",47.21,47.68,47.17,47.49,15232440
"Wednesday, April 13, 2011",47.86,48.02,47.5,48.02,12372709
"Thursday, April 14, 2011",47.81,48,47.44,47.49,10785343
"Friday, April 15, 2011",47.66,47.66,46.69,46.78,16208321
"Monday, April 18, 2011",46.59,47.46,45.74,47.41,21782060
"Tuesday, April 19, 2011",47.61,48.28,47.39,48.27,14977749
"Wednesday, April 20, 2011",49.11,49.39,48.79,48.92,25023406
"Thursday, April 21, 2011",50.63,50.73,49.79,50.1,26921374
"Monday, April 25, 2011",50.08,50.54,50.04,50.43,9519470
"Tuesday, April 26, 2011",50.52,50.71,49.91,50.06,12057235
"Wednesday, April 27, 2011",50.33,50.34,49.59,50.02,12721841
"Thursday, April 28, 2011",49.46,49.96,49.36,49.54,12899589
"Friday, April 29, 2011",49.58,50.56,49.52,50.02,35940848
"Monday, May 2, 2011",49.96,50.07,49.36,49.47,15811178
"Tuesday, May 3, 2011",49.7,49.98,49.37,49.74,11198607
"Wednesday, May 4, 2011",49.76,50.26,49.55,49.94,13901747
"Thursday, May 5, 2011",49.77,50.14,49.44,49.54,12009336
"Friday, May 6, 2011",49.98,50,49.46,49.52,10008755
"Monday, May 9, 2011",49.69,49.89,49.5,49.66,7312593
"Tuesday, May 10, 2011",49.84,49.96,49.52,49.92,10074567
"Wednesday, May 11, 2011",49.88,50,49.32,49.6,12002669
"Thursday, May 12, 2011",49.49,49.59,48.9,49.51,11462799
"Friday, May 13, 2011",49.4,49.46,48.62,48.64,11649708
"Monday, May 16, 2011",48.46,48.75,47.51,47.61,16076482
"Tuesday, May 17, 2011",47.43,48.02,47.25,48.02,16170951
"Wednesday, May 18, 2011",48.07,48.72,48,48.55,11956181
"Thursday, May 19, 2011",48.87,48.92,48.38,48.65,9327330
"Friday, May 20, 2011",48.54,48.71,47.86,47.89,12078244
"Monday, May 23, 2011",47.14,48,47.06,47.77,13661031
"Tuesday, May 24, 2011",47.9,47.99,47.33,47.46,11502950
"Wednesday, May 25, 2011",47.63,48.37,47.55,48.11,10507919
"Thursday, May 26, 2011",47.96,48.13,47.78,47.86,7953393
"Friday, May 27, 2011",47.83,48.23,47.76,48.2,7273271
"Tuesday, May 31, 2011",48.73,49.69,48.71,49.69,14919162
"Wednesday, June 1, 2011",49.87,50.3,49.24,49.36,19810086
"Thursday, June 2, 2011",49.51,49.71,49.19,49.44,12103016
"Friday, June 3, 2011",49,49.33,48.86,49.06,11194395
"Monday, June 6, 2011",49.39,49.58,48.26,48.29,16497811
"Tuesday, June 7, 2011",48.31,48.32,47.41,47.43,18927580
"Wednesday, June 8, 2011",47.43,47.83,47.24,47.46,11924511
"Thursday, June 9, 2011",47.61,47.67,47.25,47.36,9834457
"Friday, June 10, 2011",47.24,47.38,46.5,46.56,15504200
"Monday, June 13, 2011",46.74,46.9,46.44,46.66,11773444
"Tuesday, June 14, 2011",47.15,47.61,47.04,47.49,11948843
"Wednesday, June 15, 2011",47.09,47.19,46.41,46.68,14264555
"Thursday, June 16, 2011",46.68,46.95,45.48,46.45,18235334
"Friday, June 17, 2011",47.01,47.04,45.62,45.75,21981808
"Monday, June 20, 2011",45.33,45.39,44.36,45.05,22880182
"Tuesday, June 21, 2011",45.22,46.54,45.03,46.47,17620502
"Wednesday, June 22, 2011",46.43,46.99,46.05,46.09,13949348
"Thursday, June 23, 2011",45.56,47.38,45.45,47.32,19991322
"Friday, June 24, 2011",47.36,47.59,46.44,46.62,15711616
"Monday, June 27, 2011",46.8,47.7,46.75,47.43,12141419
"Tuesday, June 28, 2011",47.65,48.1,47.63,47.89,10510701
"Wednesday, June 29, 2011",48.01,48.05,47.41,47.72,12597010
"Thursday, June 30, 2011",47.81,48.02,47.55,47.95,11543913
"Friday, July 1, 2011",47.99,49.07,47.74,49.04,15546887
